player1_name,player1_atprank,player1_games,player1_wins,player1_losses,player1_indoor_wins,player1_indoor_losses,player1_outdoor_wins,player1_outdoor_losses,player2_name,player2_atprank,player2_games,player2_wins,player2_losses,player2_indoor_wins,player2_indoor_losses,player2_outdoor_wins,player2_outdoor_losses,tournament_name,tournament_location,tournament_court,tournament_surface,match_date,match_odd_player1,match_odd_player2,winner_player1
Gerasimov E.,150,93,43,50,19,19,24,31,Harris L.,186,129,59,70,7,8,52,62,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,1.8,1.9,1
Norrie C.,13,287,172,115,15,18,157,97,Paul T.,14,204,111,93,19,13,92,80,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,2.25,1.57,0
Ramos-Vinolas A.,82,437,204,233,17,31,187,202,Mott B.,481,2,0,2,0,0,0,2,Murray River Open,Melbourne,Outdoor,Hard,2021-02-01,1.36,3.0,1
O Connell C.,74,65,26,39,0,0,26,39,Koepfer D.,84,86,38,48,3,3,35,45,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-01,2.25,1.57,1
Purcell M.,78,28,9,19,0,0,9,19,Gombos N.,114,66,21,45,6,14,15,31,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-01,2.62,1.44,1
Martin A.,723,258,107,151,6,13,101,138,Kwon S.W.,68,108,53,55,12,6,41,49,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-01,3.75,1.25,0
Carballes Baena R.,64,207,91,116,11,10,80,106,Travaglia S.,1024,81,27,54,5,12,22,42,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-01,3.0,1.36,0
Lopez F.,634,863,441,422,71,82,370,340,Anderson K.,652,598,347,251,48,38,299,213,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-01,2.62,1.44,0
Seppi A.,141,758,363,395,74,85,289,310,Caruso S.,146,63,19,44,5,9,14,35,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-01,2.0,1.72,0
Torpegaard M.,188,4,1,3,0,0,1,3,Martinez P.,135,118,50,68,7,6,43,62,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,2.25,1.57,1
Harris A.,232,3,1,2,0,0,1,2,Daniel T.,111,178,67,111,3,10,64,101,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,3.25,1.33,1
Muller A.,81,22,9,13,0,1,9,12,Kyrgios N.,25,303,195,108,11,7,184,101,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,6.5,1.11,0
Ferreira Silva F.,185,2,0,2,0,0,0,2,Vesely J.,528,288,130,158,6,19,124,139,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,2.62,1.44,0
Halys Q.,79,72,23,49,3,10,20,39,Sugita Y.,131,129,47,82,6,12,41,70,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,1.57,2.25,0
Gojo B.,115,14,3,11,0,1,3,10,Popyrin A.,90,140,59,81,9,13,50,68,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,2.2,1.61,0
Kukushkin M.,221,352,141,211,50,49,91,162,Londero J.I.,142,83,34,49,3,5,31,44,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,1.44,2.62,1
Machac T.,108,18,6,12,1,1,5,11,Duckworth J.,123,143,55,88,10,9,45,79,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,1.53,2.37,0
Balazs A.,745,33,16,17,0,1,16,16,Alcaraz C.,1,164,130,34,10,5,120,29,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,4.0,1.22,0
