player1_name,player1_atprank,player1_games,player1_wins,player1_loses,player2_name,player2_atprank,player2_games,player2_wins,player2_loses,match_date,match_location,match_tournament,match_surface,match_odd_player1,match_odd_player2,winner_player1
Stebe C.M.,231,76,28,48,Auger-Aliassime F.,12,268,163,105,2021-02-08,Melbourne,Australian Open,Hard,6.0,1.12,0
Schwartzman D.,95,428,233,195,Ymer E.,186,81,24,57,2021-02-08,Melbourne,Australian Open,Hard,1.04,13.0,1
Tomic B.,233,349,169,180,Sugita Y.,131,129,47,82,2021-02-08,Melbourne,Australian Open,Hard,2.2,1.66,1
Ferreira Silva F.,185,2,0,2,Kyrgios N.,25,303,195,108,2021-02-08,Melbourne,Australian Open,Hard,5.5,1.14,0
Cressy M.,96,96,42,54,Daniel T.,111,178,67,111,2021-02-08,Melbourne,Australian Open,Hard,2.1,1.72,1
Djokovic N.,2,1207,1012,195,Chardy J.,542,591,289,302,2021-02-08,Melbourne,Australian Open,Hard,1.01,26.0,1
Shapovalov D.,29,298,166,132,Sinner J.,8,224,153,71,2021-02-08,Melbourne,Australian Open,Hard,1.5,2.62,1
Coppejans K.,188,11,0,11,Vesely J.,528,288,130,158,2021-02-08,Melbourne,Australian Open,Hard,4.0,1.25,0
Duckworth J.,123,143,55,88,Dzumhur D.,202,234,107,127,2021-02-08,Melbourne,Australian Open,Hard,1.36,3.2,1
Raonic M.,849,540,361,179,Coria F.,108,99,43,56,2021-02-08,Melbourne,Australian Open,Hard,1.01,26.0,1
Bedene A.,347,291,131,160,Bublik A.,25,219,110,109,2021-02-08,Melbourne,Australian Open,Hard,1.8,2.0,0
Gerasimov E.,150,93,43,50,Paire B.,149,527,237,290,2021-02-08,Melbourne,Australian Open,Hard,1.16,5.0,1
Novak D.,166,58,15,43,Mannarino A.,27,567,264,303,2021-02-08,Melbourne,Australian Open,Hard,2.2,1.66,0
Monfils G.,323,816,510,306,Ruusuvuori E.,55,158,79,79,2021-02-08,Melbourne,Australian Open,Hard,2.3,1.61,0
Millman J.,140,256,113,143,Moutet C.,80,118,50,68,2021-02-08,Melbourne,Australian Open,Hard,1.4,3.0,0
Wawrinka S.,72,854,535,319,Sousa P.,475,36,9,27,2021-02-08,Melbourne,Australian Open,Hard,1.08,8.0,1
Bolt A.,345,40,13,27,Gombos N.,114,66,21,45,2021-02-08,Melbourne,Australian Open,Hard,1.66,2.2,1
Lu Y.,625,11,1,10,Opelka R.,17,168,88,80,2021-02-08,Melbourne,Australian Open,Hard,10.0,1.06,0
Ramos-Vinolas A.,82,437,204,233,Fritz T.,9,356,205,151,2021-02-08,Melbourne,Australian Open,Hard,5.5,1.14,0
Fucsovics M.,67,249,121,128,Polmans M.,165,19,5,14,2021-02-08,Melbourne,Australian Open,Hard,1.16,5.0,1
Kukushkin M.,221,352,141,211,Thiem D.,116,517,327,190,2021-02-08,Melbourne,Australian Open,Hard,17.0,1.02,0
Mager G.,67,59,24,35,Karatsev A.,75,136,66,70,2021-02-08,Melbourne,Australian Open,Hard,4.0,1.25,0
Majchrzak K.,121,50,19,31,Kecmanovic M.,40,210,107,103,2021-02-08,Melbourne,Australian Open,Hard,2.75,1.44,0
Zverev A.,19,500,346,154,Giron M.,69,150,68,82,2021-02-08,Melbourne,Australian Open,Hard,1.05,11.0,1
Martinez P.,135,118,50,68,Nishioka Y.,31,215,99,116,2021-02-08,Melbourne,Australian Open,Hard,3.2,1.36,1
Sandgren T.,153,121,47,74,De Minaur A.,19,272,161,111,2021-02-09,Melbourne,Australian Open,Hard,6.0,1.12,0
Paul T.,14,204,111,93,Basilashvili N.,118,301,138,163,2021-02-09,Melbourne,Australian Open,Hard,1.2,4.5,1
Djere L.,38,243,120,123,Nadal R.,2,1223,1017,206,2021-02-09,Melbourne,Australian Open,Hard,26.0,1.01,0
