index,match_id,match_date,match_round_order,match_order,player1_name,player1_id,player1_weight,player1_height,player1_birthdate,player1_turned_pro,player1_atprank,player1_oddsB365,player1_oddsPS,player2_name,player2_id,player2_weight,player2_height,player2_birthdate,player2_turned_pro,player2_atprank,player2_oddsB365,player2_oddsPS,winner_player1,player1_plays,player1_wins,player1_losses,player1_age,player1_mean_serve_rating,player1_mean_atp_adversary,player1_elo,player2_plays,player2_wins,player2_losses,player2_age,player2_mean_serve_rating,player2_mean_atp_adversary,player2_elo,player1_c1,player1_c2,player1_c3,player1_c4,player1_c5,player2_c1,player2_c2,player2_c3,player2_c4,player2_c5
39276,2011-451-ms023-4-9-k435-sa93,2011-01-04,5,8,Philipp Kohlschreiber,k435,70.0,178.0,1983-10-16,2001.0,34.0,1.4,1.5,Andreas Seppi,sa93,78.0,191.0,1984-02-21,2002.0,52.0,2.75,2.76,1,294,158,136,27.21971252566735,265.7729829225892,67.88514519731943,12930.0,283,127,156,26.869267624914443,252.51942602569412,64.04474560872198,-7050.0,0.0,1.0,49.0,2689.0,170429.0,0.0,0.0,38.0,2043.0,128382.0
39278,2011-451-ms030-4-7-c582-e655,2011-01-04,5,10,Marco Chiudinelli,c582,85.0,185.0,1981-09-10,2000.0,117.0,1.2,1.23,Reda El Amrani,e655,82.0,185.0,1988-05-19,,217.0,4.33,4.63,1,82,31,51,29.31690622861054,262.47872340425533,66.93390259329539,-12300.0,4,2,2,22.628336755646817,230.75,62.75,450.0,0.0,0.0,1.0,21.0,1050.0,0.0,0.0,0.0,8.0,508.0
39279,2011-451-ms029-4-6-g681-s636,2011-01-04,5,11,Teymuraz Gabashvili,g681,87.0,185.0,1985-05-23,2001.0,80.0,2.37,2.55,Rainer Schuettler,s636,74.0,180.0,1976-04-25,1995.0,84.0,1.53,1.57,1,138,45,93,25.61806981519507,254.91923076923075,87.68100358422939,-12030.0,394,196,198,34.69404517453799,253.78788849281497,78.44588744588745,-10710.0,0.0,0.0,18.0,1156.0,76084.0,0.0,1.0,33.0,2259.0,149605.0
39280,2011-451-ms022-4-5-k336-r685,2011-01-04,5,12,Ivo Karlovic,k336,104.0,211.0,1979-02-28,2000.0,73.0,1.53,1.54,Lukas Rosol,r685,83.0,193.0,1985-07-24,2004.0,164.0,2.37,2.63,1,300,159,141,31.849418206707732,306.3464508393285,73.57058744814667,8490.0,7,1,6,25.44832306639288,239.2,150.66666666666666,-2730.0,0.0,0.0,1.0,189.0,11763.0,0.0,0.0,0.0,0.0,0.0
39281,2011-451-ms017-4-4-l797-r750,2011-01-04,5,13,Lukas Lacko,l797,87.0,188.0,1987-11-03,2005.0,89.0,1.28,1.34,Pere Riba,r750,78.0,183.0,1988-04-07,2004.0,72.0,3.5,3.54,1,46,17,29,23.17043121149897,264.8425925925926,84.5,-6630.0,25,9,16,22.74332648870637,235.3269230769231,108.40972222222224,-8250.0,0.0,0.0,1.0,72.0,3880.0,0.0,1.0,0.0,33.0,1937.0
39283,2011-451-ms021-4-2-n289-p701,2011-01-04,5,15,Jarkko Nieminen,n289,78.0,185.0,1981-07-23,2000.0,39.0,1.25,1.29,Michal Przysiezny,p701,84.0,185.0,1984-02-16,2001.0,86.0,3.75,3.95,1,387,214,173,29.45106091718001,259.4183982683983,77.53403381772999,4980.0,24,3,21,26.882956878850106,236.2142857142857,63.90476190476191,-13560.0,0.0,0.0,7.0,715.0,45949.0,0.0,0.0,3.0,152.0,9468.0
39284,2011-451-ms018-4-1-v564-sg01,2011-01-04,5,16,Antonio Veic,v564,74.0,180.0,1988-02-18,2006.0,191.0,1.16,1.24,Sherif Sabry,sg01,,,1986-08-29,,586.0,4.5,4.52,1,8,3,5,22.87748117727584,255.8,78.76666666666667,-1350.0,0,0,0,24.35044490075291,,,0.0,,,,,,,,,,
39326,2011-891-ms016-4-16-ba47-g717,2011-01-04,5,1,Tomas Berdych,ba47,91.0,196.0,1985-09-17,2002.0,6.0,1.05,1.09,Fred Gil,g717,78.0,173.0,1985-03-24,2003.0,101.0,9.0,8.93,1,335,200,135,25.297741273100616,269.5316724453621,62.29851851851852,17160.0,64,27,37,25.782340862423,250.2516891891892,78.8088088088088,-5850.0,0.0,0.0,16.0,1013.0,61870.0,0.0,0.0,9.0,517.0,31271.0
39328,2011-891-ms020-4-14-w367-b757,2011-01-04,5,3,Stan Wawrinka,w367,81.0,183.0,1985-03-28,2002.0,21.0,1.05,1.07,Rohan Bopanna,b757,84.0,193.0,1980-03-04,2003.0,626.0,9.0,10.48,1,263,154,109,25.77138945927447,263.5974809680015,57.33224115334207,18870.0,16,5,11,30.836413415468854,274.0272727272728,111.69090909090907,-540.0,0.0,1.0,4.0,217.0,13413.0,0.0,0.0,2.0,85.0,5798.0
39329,2011-891-ms027-4-13-g628-r613,2011-01-04,5,4,Richard Gasquet,g628,79.0,183.0,1986-06-18,2002.0,30.0,1.14,1.19,Edouard Roger-Vasselin,r613,78.0,185.0,1983-11-28,2002.0,124.0,5.0,5.22,1,324,199,125,24.54757015742642,267.5270799419244,62.98938693467337,19680.0,32,10,22,27.10198494182067,255.3095238095238,138.26818181818183,-7350.0,0.0,1.0,11.0,736.0,47793.0,0.0,0.0,3.0,154.0,10150.0
39330,2011-891-ms019-4-12-k834-ca12,2011-01-04,5,5,Blaz Kavcic,k834,78.0,188.0,1987-03-05,2005.0,112.0,3.75,3.91,Jeremy Chardy,ca12,75.0,188.0,1987-02-12,2005.0,45.0,1.25,1.29,1,14,4,10,23.835728952772072,237.975,83.1,-3450.0,135,69,66,23.89322381930185,268.77293346774195,64.11363636363637,-270.0,0.0,0.0,1.0,26.0,1492.0,0.0,0.0,3.0,166.0,10524.0
39332,2011-891-ms024-4-10-m680-k771,2011-01-04,5,7,Xavier Malisse,m680,83.0,185.0,1980-07-19,1998.0,60.0,1.5,1.6,Marsel Ilhan,k771,80.0,191.0,1987-06-11,2006.0,90.0,2.5,2.48,1,307,159,148,30.46132785763176,263.58049886621313,71.26814550399456,-2220.0,16,6,10,23.567419575633128,273.24444444444447,92.03333333333332,-5250.0,0.0,0.0,5.0,295.0,20282.0,0.0,0.0,2.0,135.0,8986.0
39333,2011-891-ms023-4-9-h756-d499,2011-01-04,5,8,Robin Haase,h756,77.0,191.0,1987-04-06,2005.0,65.0,1.33,1.36,Frank Dancevic,d499,79.0,185.0,1984-09-26,2003.0,269.0,3.25,3.38,1,64,31,33,23.74811772758385,267.820060483871,97.99706744868035,-4410.0,94,37,57,26.272416153319643,276.825974025974,97.40256045519205,-3300.0,0.0,0.0,4.0,289.0,18713.0,0.0,0.0,1.0,302.0,18251.0
39335,2011-891-ms030-4-7-f444-ma49,2011-01-04,5,10,Alejandro Falla,f444,77.0,185.0,1983-11-14,2000.0,105.0,1.44,1.51,Rui Machado,ma49,70.0,178.0,1984-04-10,2002.0,93.0,2.62,2.72,1,108,42,66,27.14031485284052,251.52568922305764,81.46103896103897,,15,6,9,26.73511293634497,259.52222222222224,79.61111111111111,,0.0,0.0,2.0,95.0,6060.0,0.0,0.0,0.0,61.0,4229.0
39336,2011-891-ms021-4-6-gb88-d616,2011-01-04,5,11,David Goffin,gb88,70.0,180.0,1990-12-07,2009.0,229.0,2.75,3.09,Somdev Devvarman,d616,73.0,180.0,1985-02-13,2008.0,108.0,1.4,1.42,1,0,0,0,20.076659822039694,,,0.0,31,15,16,25.88911704312115,252.16190476190476,119.46041666666666,-5550.0,,,,,,,,,,
39338,2011-891-ms029-4-4-k596-bf55,2011-01-04,5,13,Alexander Kudryavtsev,k596,79.0,183.0,1985-10-26,,60.0,1.4,1.46,Yuki Bhambri,bf55,75.0,185.0,1992-07-04,2008.0,505.0,2.75,2.9,1,7,1,6,25.190965092402465,280.1666666666667,88.41666666666667,-1350.0,3,1,2,18.50239561943874,218.5,21.0,-300.0,0.0,0.0,0.0,2.0,53.0,0.0,0.0,0.0,0.0,0.0
39341,2011-891-ms022-4-1-se73-ba65,2011-01-04,5,16,Yuichi Sugita,se73,72.0,175.0,1988-09-18,2006.0,180.0,2.0,2.05,Dustin Brown,ba65,78.0,196.0,1984-12-08,2002.0,92.0,1.72,1.85,1,2,0,2,22.2943189596167,,,-450.0,15,5,10,26.072553045859,279.4,108.4,-4530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0
39203,2011-339-ms015-5-7-r485-d801,2011-01-05,4,2,Andy Roddick,r485,88.0,188.0,1982-08-30,2000.0,8.0,1.22,1.27,Alexandr Dolgopolov,d801,71.0,180.0,1988-11-07,2006.0,48.0,4.0,4.23,1,562,442,120,28.35044490075291,291.9953516329393,54.07877073906486,42570.0,51,23,28,22.16016427104723,263.4175925925926,84.84006211180125,-2430.0,0.0,0.0,21.0,1313.0,86231.0,0.0,0.0,7.0,432.0,27462.0
39204,2011-339-ms010-5-6-s694-f339,2011-01-05,4,3,Radek Stepanek,s694,76.0,185.0,1978-11-27,1996.0,62.0,2.2,2.61,Mardy Fish,f339,82.0,188.0,1981-12-09,2000.0,16.0,1.61,1.56,1,376,228,148,32.106776180698155,267.4844483568075,66.39378852536748,5910.0,348,200,148,29.073237508555785,271.04181385624685,73.75790540540541,25110.0,0.0,1.0,47.0,3363.0,218473.0,0.0,0.0,50.0,3097.0,196924.0
