match_id,tourney_slug,match_stats_url_suffix,match_time,match_duration,winner_player_id,winner_serve_rating,winner_aces,winner_double_faults,winner_first_serves_in,winner_first_serves_total,winner_first_serve_points_won,winner_first_serve_points_total,winner_second_serve_points_won,winner_second_serve_points_total,winner_break_points_saved,winner_break_points_serve_total,winner_service_games_played,winner_return_rating,winner_first_serve_return_won,winner_first_serve_return_total,winner_second_serve_return_won,winner_second_serve_return_total,winner_break_points_converted,winner_break_points_return_total,winner_return_games_played,winner_service_points_won,winner_service_points_total,winner_return_points_won,winner_return_points_total,winner_total_points_won,winner_total_points_total,loser_player_id,loser_serve_rating,loser_aces,loser_double_faults,loser_first_serves_in,loser_first_serves_total,loser_first_serve_points_won,loser_first_serve_points_total,loser_second_serve_points_won,loser_second_serve_points_total,loser_break_points_saved,loser_break_points_serve_total,loser_service_games_played,loser_return_rating,loser_first_serve_return_won,loser_first_serve_return_total,loser_second_serve_return_won,loser_second_serve_return_total,loser_break_points_converted,loser_break_points_return_total,loser_return_games_played,loser_service_points_won,loser_service_points_total,loser_return_points_won,loser_return_points_total,loser_total_points_won,loser_total_points_total
2023-8998-2023-3-4-kb95-ea24,adelaide,/en/scores/stats-centre/archive/2023/8998/ms018,02:10:01,130,kb95,317,10,1,57,78,47,57,12,21,5,5,12,116,9,43,10,27,1,2,12,59,78,19,70,78,148,ea24,300,10,1,43,70,34,43,17,27,1,2,12,60,10,57,9,21,0,5,12,51,70,19,78,70,148
2023-8998-2023-3-3-kf17-m0fh,adelaide,/en/scores/stats-centre/archive/2023/8998/ms030,01:41:04,101,kf17,252,6,3,44,82,35,44,14,38,9,11,10,177,15,42,16,26,4,10,10,49,82,31,68,80,150,m0fh,226,5,2,42,68,27,42,10,26,6,10,10,122,9,44,24,38,2,11,10,37,68,33,82,70,150
2023-8998-2023-3-2-mh30-r772,adelaide,/en/scores/stats-centre/archive/2023/8998/ms022,02:46:44,166,mh30,270,7,1,77,109,53,77,15,32,3,6,16,118,25,68,7,25,3,9,15,68,109,32,93,100,202,r772,291,7,0,68,93,43,68,18,25,6,9,15,153,24,77,17,32,3,6,16,61,93,41,109,102,202
2023-8998-2023-3-1-y268-rh24,adelaide,/en/scores/stats-centre/archive/2023/8998/ms029,02:23:35,143,y268,290,1,3,56,83,41,56,17,27,1,3,15,146,23,72,16,29,3,8,14,58,83,39,101,97,184,rh24,263,4,2,72,101,49,72,13,29,5,8,14,144,15,56,10,27,2,3,15,62,101,25,83,87,184
2023-8998-2023-2-4-y268-tc61,adelaide,/en/scores/stats-centre/archive/2023/8998/qs005,01:59:40,119,y268,284,0,2,48,69,33,48,15,21,3,6,12,167,19,48,17,34,4,9,12,48,69,36,82,84,151,tc61,238,7,2,48,82,29,48,17,34,5,9,12,135,15,48,6,21,3,6,12,46,82,21,69,67,151
2023-8998-2023-2-3-mh30-o483,adelaide,/en/scores/stats-centre/archive/2023/8998/qs006,01:41:10,101,mh30,314,7,0,50,74,40,50,15,24,2,2,11,117,9,36,15,31,1,3,10,55,74,24,67,79,141,o483,273,6,1,36,67,27,36,16,31,2,3,10,58,10,50,9,24,0,2,11,43,67,19,74,62,141
2023-8998-2023-2-2-ea24-h756,adelaide,/en/scores/stats-centre/archive/2023/8998/qs004,01:25:13,85,ea24,276,3,0,28,57,19,28,20,29,1,2,9,196,17,38,12,21,4,8,9,39,57,29,59,68,116,h756,221,6,1,38,59,21,38,9,21,4,8,9,124,9,28,9,29,1,2,9,30,59,18,57,48,116
2023-8998-2023-2-1-m0fh-kf17,adelaide,/en/scores/stats-centre/archive/2023/8998/qs007,02:04:46,124,m0fh,270,14,1,65,100,47,65,17,35,4,7,15,162,18,52,13,30,4,7,15,64,100,31,82,95,182,kf17,258,3,5,52,82,34,52,17,30,3,7,15,142,18,65,18,35,3,7,15,51,82,36,100,87,182
2023-8998-2023-1-8-y268-bg23,adelaide,/en/scores/stats-centre/archive/2023/8998/qs010,00:45:15,45,y268,316,4,1,21,30,14,21,7,9,0,0,5,189,9,21,10,16,2,6,4,21,30,19,37,40,67,bg23,200,0,3,21,37,12,21,6,16,4,6,4,56,7,21,2,9,0,0,5,18,37,9,30,27,67
2023-8998-2023-1-7-mh30-z419,adelaide,/en/scores/stats-centre/archive/2023/8998/qs012,00:56:00,56,mh30,304,3,0,27,41,21,27,10,14,2,3,8,254,12,24,14,20,5,7,8,31,41,26,44,57,85,z419,172,1,1,24,44,12,24,6,20,2,7,8,97,6,27,4,14,1,3,8,18,44,10,41,28,85
2023-8998-2023-1-6-m0fh-o449,adelaide,/en/scores/stats-centre/archive/2023/8998/qs014,01:46:27,106,m0fh,295,4,2,41,67,33,41,16,26,4,5,11,114,11,48,30,52,2,13,11,49,67,41,100,90,167,o449,251,14,10,48,100,37,48,22,52,11,13,11,87,8,41,10,26,1,5,11,59,100,18,67,77,167
2023-8998-2023-1-5-o483-h0bh,adelaide,/en/scores/stats-centre/archive/2023/8998/qs013,01:43:54,103,o483,283,12,3,46,79,36,46,17,33,4,5,12,208,17,51,14,23,4,5,12,53,79,31,74,84,153,h0bh,243,6,1,51,74,34,51,9,23,1,5,12,99,10,46,16,33,1,5,12,43,74,26,79,69,153
2023-8998-2023-1-4-ea24-sm09,adelaide,/en/scores/stats-centre/archive/2023/8998/qs009,01:19:59,79,ea24,281,5,2,32,48,22,32,9,16,0,1,8,208,16,35,11,19,5,12,8,31,48,27,54,58,102,sm09,198,1,3,35,54,19,35,8,19,7,12,8,188,10,32,7,16,1,1,8,27,54,17,48,44,102
2023-8998-2023-1-3-kf17-pd07,adelaide,/en/scores/stats-centre/archive/2023/8998/qs015,02:28:20,148,kf17,303,7,3,52,87,43,52,23,35,2,3,15,157,15,55,23,50,4,7,15,66,87,38,105,104,192,pd07,256,15,4,55,105,40,55,27,50,3,7,15,92,9,52,12,35,1,3,15,67,105,21,87,88,192
2023-8998-2023-1-2-tc61-sx50,adelaide,/en/scores/stats-centre/archive/2023/8998/qs011,01:20:37,80,tc61,316,11,0,34,53,30,34,11,19,1,1,10,148,13,41,12,26,2,4,10,41,53,25,67,66,120,sx50,264,5,3,41,67,28,41,14,26,2,4,10,54,4,34,8,19,0,1,10,42,67,12,53,54,120
2023-8998-2023-1-1-h756-f724,adelaide,/en/scores/stats-centre/archive/2023/8998/qs008,01:20:27,80,h756,232,2,7,41,82,32,41,15,41,6,9,10,235,13,34,16,23,5,7,9,47,82,29,57,76,139,f724,196,3,3,34,57,21,34,7,23,2,7,9,149,9,41,26,41,3,9,10,28,57,35,82,63,139
